X=-1837.566 Y=-1539.844 Z=1107.625;
X=-1033.195 Y=1500.241 Z=987.835;
X=1885.717 Y=240.804 Z=1208.500;
X=-684.283 Y=891.605 Z=1005.695;
X=568.011 Y=-224.351 Z=1039.033;
X=1184.861 Y=-1502.929 Z=1034.331;
X=903.372 Y=1543.445 Z=1159.236;
X=-758.888 Y=-480.077 Z=1159.306;
X=-2059.867 Y=1745.850 Z=970.977;
X=526.008 Y=693.138 Z=1011.760;
X=-2007.446 Y=709.381 Z=1169.009;
X=-261.138 Y=-1391.965 Z=1087.497;
X=1794.032 Y=-1517.804 Z=1121.134;
X=306.238 Y=-620.246 Z=1056.304;
X=-1897.499 Y=-778.790 Z=1107.273;
X=1884.762 Y=924.583 Z=1187.529;
X=681.652 Y=-315.736 Z=1118.207;
X=-762.167 Y=1475.740 Z=1207.841;
X=-283.302 Y=771.945 Z=1109.374;
X=644.837 Y=-442.670 Z=1215.347;
X=-1904.223 Y=-1544.821 Z=995.156;
X=222.024 Y=-331.432 Z=983.221;
X=1061.964 Y=1315.665 Z=1090.653;
X=-1279.529 Y=-1111.190 Z=972.919;
X=-1832.128 Y=788.297 Z=1084.957;
X=-85.571 Y=1630.511 Z=1157.478;
X=682.191 Y=94.456 Z=958.610;
X=1202.957 Y=-702.553 Z=1020.936;
X=-439.942 Y=-1102.003 Z=989.900;
X=564.649 Y=1228.655 Z=975.662;
X=-1545.867 Y=298.064 Z=1190.165;
