X=-1071.006 Y=1681.043 Z=1087.559;
X=1551.849 Y=784.961 Z=967.822;
X=946.787 Y=-394.762 Z=1163.938;
X=68.081 Y=1279.406 Z=1083.103;
X=-549.931 Y=-811.822 Z=1237.056;
X=-469.992 Y=1459.716 Z=1155.034;
X=897.105 Y=-625.715 Z=1170.539;
X=-744.278 Y=198.803 Z=1022.157;
X=-784.372 Y=-758.555 Z=1123.788;
X=1571.772 Y=61.642 Z=1161.723;
X=251.700 Y=104.683 Z=1168.939;
X=-1868.819 Y=452.615 Z=1182.870;
X=1967.897 Y=-1144.113 Z=996.782;
X=68.496 Y=-1462.131 Z=1038.505;
X=-1825.654 Y=-1697.130 Z=1185.507;
X=1140.948 Y=-1593.932 Z=1066.236;
X=1621.620 Y=281.165 Z=1125.203;
X=-423.050 Y=-311.854 Z=1129.774;
X=-1093.087 Y=-1723.764 Z=1026.807;
X=-1341.994 Y=1552.961 Z=1038.453;
X=908.519 Y=1010.117 Z=1026.069;
X=1722.311 Y=-1498.827 Z=1086.399;
X=-19.287 Y=1101.830 Z=1099.539;
X=1054.119 Y=702.326 Z=1217.922;
X=-287.162 Y=-1207.389 Z=1055.188;
X=1589.121 Y=-513.492 Z=1036.906;
X=-706.405 Y=843.752 Z=1017.042;
X=-1466.343 Y=1489.139 Z=1022.087;
X=-1660.006 Y=-914.692 Z=988.055;
X=998.834 Y=1509.265 Z=1235.791;
X=1118.992 Y=-821.228 Z=1059.389;
X=-25.430 Y=-135.973 Z=1237.232;
X=207.041 Y=686.521 Z=1017.807;
X=-1501.332 Y=-1764.835 Z=972.295;
X=-1093.087 Y=304.736 Z=1042.004;
X=98.670 Y=234.515 Z=1113.830;
X=257.303 Y=-1089.205 Z=1237.285;
X=979.078 Y=134.543 Z=1122.417;
X=859.668 Y=-914.747 Z=1083.885;
X=-1703.006 Y=-1467.600 Z=990.973;
X=1099.526 Y=-39.009 Z=1000.131;
X=-1170.370 Y=791.962 Z=1047.233;
X=1207.315 Y=1277.273 Z=1134.318;
X=334.959 Y=175.779 Z=1224.444;
X=-513.531 Y=-92.276 Z=1139.987;
X=1622.574 Y=-856.722 Z=1132.578;
X=-1317.921 Y=1080.228 Z=1157.276;
X=-845.301 Y=-1158.934 Z=1009.606;
X=1295.762 Y=726.444 Z=1226.667;
X=-307.001 Y=372.605 Z=1096.990;
X=-905.027 Y=1407.105 Z=1136.225;
X=65.259 Y=-1479.741 Z=1122.259;
X=1142.525 Y=670.059 Z=1174.494;
X=1801.752 Y=-331.760 Z=1042.997;
X=-1531.216 Y=296.423 Z=1070.639;
X=240.452 Y=1192.177 Z=1208.087;
X=-1849.353 Y=-801.212 Z=1109.664;
X=-1924.685 Y=456.225 Z=1138.704;
X=1072.257 Y=262.406 Z=990.982;
X=290.549 Y=-371.465 Z=1116.089;
X=1849.317 Y=-1478.264 Z=1035.631;
X=-1904.306 Y=1533.984 Z=1144.689;
X=518.205 Y=1563.899 Z=1163.270;
X=-1237.193 Y=-301.955 Z=1226.764;
X=205.961 Y=-993.937 Z=1115.597;
X=1740.656 Y=1094.229 Z=1145.243;
X=109.296 Y=391.199 Z=1070.217;
X=-1937.759 Y=709.709 Z=1190.069;
X=1836.741 Y=-878.597 Z=1231.062;
X=-1910.241 Y=-1368.175 Z=1242.866;
