X=1455.225 Y=-682.044 Z=1240.273;
X=-882.531 Y=785.782 Z=1211.418;
X=1272.893 Y=1561.110 Z=999.103;
X=-1280.774 Y=-1252.070 Z=1097.315;
X=-419.563 Y=-763.422 Z=1182.545;
X=-483.315 Y=345.534 Z=969.641;
X=1783.905 Y=1376.862 Z=988.749;
X=1373.668 Y=-680.185 Z=1180.541;
X=1166.266 Y=1001.093 Z=1218.397;
X=-846.588 Y=47.806 Z=1075.016;
X=369.243 Y=1439.536 Z=1202.268;
X=92.071 Y=-1057.376 Z=1122.795;
X=1333.781 Y=562.048 Z=1144.927;
X=-1542.256 Y=-1222.428 Z=981.885;
X=-1143.890 Y=300.743 Z=967.549;
X=1014.191 Y=-1125.355 Z=1045.062;
X=820.238 Y=1369.753 Z=1230.913;
X=352.765 Y=485.265 Z=1205.564;
X=563.570 Y=-1652.449 Z=1174.063;
X=-2074.560 Y=1331.962 Z=1095.662;
X=-1857.198 Y=-1069.189 Z=1016.611;
X=997.091 Y=880.722 Z=1192.222;
X=-460.280 Y=-290.962 Z=1086.223;
X=-1971.503 Y=1113.534 Z=975.328;
X=1328.302 Y=-211.936 Z=1068.512;
X=-1713.465 Y=-246.226 Z=1189.893;
X=467.278 Y=213.350 Z=1185.085;
X=-2024.380 Y=1388.238 Z=1046.829;
X=-1259.025 Y=1659.879 Z=1055.803;
X=1854.588 Y=1291.055 Z=1019.459;
X=800.606 Y=-384.207 Z=1157.416;
X=635.789 Y=-1475.147 Z=1168.192;
X=-1434.592 Y=-1504.898 Z=1195.667;
X=1780.792 Y=-353.964 Z=1172.850;
X=1289.246 Y=172.333 Z=1015.003;
X=68.330 Y=1722.279 Z=1020.443;
X=11.676 Y=-152.325 Z=1010.415;
X=-1550.848 Y=-185.576 Z=1153.127;
X=-1485.809 Y=1204.974 Z=1087.339;
X=-2044.552 Y=-1713.810 Z=1236.951;
X=-1077.274 Y=1178.067 Z=1003.454;
X=1580.280 Y=-510.649 Z=1059.732;
X=965.215 Y=32.165 Z=1094.529;
X=-556.406 Y=156.473 Z=1041.274;
X=-1170.536 Y=-1618.815 Z=1196.968;
X=-1445.923 Y=1643.691 Z=1045.827;
X=380.242 Y=-34.743 Z=1243.622;
X=-326.010 Y=155.051 Z=1204.694;
X=-1122.680 Y=-781.032 Z=986.517;
X=663.224 Y=-397.770 Z=1194.586;
X=1377.735 Y=-54.322 Z=1235.184;
X=-815.791 Y=411.981 Z=1118.119;
X=794.338 Y=1416.895 Z=1167.410;
X=-472.316 Y=-996.726 Z=1049.659;
X=-1224.825 Y=-1259.234 Z=987.185;
X=-615.094 Y=-1241.679 Z=1093.738;
X=-464.555 Y=1151.871 Z=1067.853;
X=1025.896 Y=-1286.414 Z=1058.642;
X=1465.602 Y=827.892 Z=979.248;
X=-1711.265 Y=621.331 Z=995.130;
X=-373.036 Y=1647.683 Z=1148.021;
X=-971.809 Y=-1333.228 Z=1132.586;
X=1855.211 Y=1330.759 Z=1128.139;
X=-409.353 Y=-473.351 Z=1126.953;
X=-1217.561 Y=1463.818 Z=1119.763;
X=1584.721 Y=-332.307 Z=1172.648;
X=703.774 Y=1653.152 Z=993.627;
X=-1100.558 Y=-908.184 Z=1091.233;
X=-1517.270 Y=-1540.117 Z=1066.315;
X=581.749 Y=465.413 Z=1070.736;
