X=1334.985 Y=1737.975 Z=1101.147;
X=793.259 Y=-252.242 Z=1088.675;
X=-1053.906 Y=119.011 Z=1003.260;
X=-647.053 Y=519.883 Z=1187.713;
X=1571.232 Y=1176.262 Z=1171.462;
X=-635.556 Y=-1597.596 Z=1197.874;
X=-1359.800 Y=-1598.635 Z=964.895;
X=-606.004 Y=-832.221 Z=1147.766;
X=-1858.650 Y=580.260 Z=1236.441;
X=1632.784 Y=-1402.410 Z=1012.014;
X=-706.488 Y=485.593 Z=1225.454;
X=-440.772 Y=-444.037 Z=1027.220;
X=-771.796 Y=-1375.995 Z=1070.367;
X=83.106 Y=1551.594 Z=977.209;
X=876.519 Y=780.531 Z=1216.797;
X=-1962.579 Y=-1290.516 Z=1107.396;
X=1457.550 Y=1078.752 Z=1045.642;
X=466.199 Y=1733.381 Z=1215.162;
X=1716.168 Y=-1332.353 Z=1124.817;
X=-867.299 Y=1063.165 Z=1180.172;
X=40.273 Y=-1613.893 Z=1163.384;
X=1802.458 Y=636.043 Z=1156.722;
X=1342.414 Y=-452.241 Z=1101.507;
X=-1336.598 Y=-604.933 Z=1174.090;
X=-538.185 Y=904.402 Z=1119.649;
X=1920.083 Y=1589.876 Z=960.193;
X=971.981 Y=-1559.204 Z=1220.014;
X=-1528.269 Y=334.705 Z=1022.641;
